corner_id,m,n,dm,dn
5131,7,4,5,3
5131,2,5,1,3
5156,2,3,1,2
5157,7,4,5,3
5157,2,5,1,3
5219,2,3,1,2
5220,7,4,5,3
5220,2,5,1,3
5277,2,3,1,2
5278,7,4,5,3
5278,2,5,1,3
5306,2,5,1,3
5307,2,7,1,4
5308,9,4,11,5
5308,2,3,3,5
5308,2,27,3,45
5308,4,57,3,45
5309,3,4,2,3
5310,3,4,2,3
5311,3,4,2,3
5312,3,2,4,3
5312,3,16,2,12
5316,3,2,4,3
5316,3,16,2,12
5345,2,5,1,3
5346,2,7,1,4
5347,9,4,11,5
5347,2,3,3,5
5347,2,27,3,45
5347,4,57,3,45
5396,2,3,1,2
5397,7,4,5,3
5397,2,5,1,3
5446,2,3,1,2
5447,7,4,5,3
5447,2,5,1,3
5468,2,5,1,3
5469,2,7,1,4
5470,9,4,11,5
5470,2,3,3,5
5470,2,27,3,45
5470,4,57,3,45
5501,2,3,1,2
5502,7,4,5,3
5502,2,5,1,3
5523,2,5,1,3
5524,2,7,1,4
5525,9,4,11,5
5525,2,3,3,5
5525,2,27,3,45
5525,4,57,3,45
5556,2,3,1,2
5557,7,4,5,3
5557,2,5,1,3
5578,2,5,1,3
5579,2,7,1,4
5580,9,4,11,5
5580,2,3,3,5
5580,2,27,3,45
5580,4,57,3,45
5615,2,3,1,2
5616,7,4,5,3
5616,2,5,1,3
5637,2,5,1,3
5638,2,7,1,4
5639,9,4,11,5
5639,2,3,3,5
5639,2,27,3,45
5639,4,57,3,45
5661,3,4,2,3
5662,3,4,2,3
5663,3,4,2,3
5664,3,2,4,3
5664,3,16,2,12
5668,3,2,4,3
5668,3,16,2,12
5680,2,3,1,2
5681,3,2,4,3
5681,3,16,2,12
5682,9,5,7,4
5682,7,18,6,16
5683,5,2,2,1
5683,3,4,2,4
5684,5,2,2,1
5684,3,4,2,4
5693,2,3,1,2
5694,3,2,4,3
5694,3,16,2,12
5695,9,5,7,4
5695,7,18,6,16
5706,5,3,3,2
5706,3,10,2,8
5707,11,4,8,3
5707,7,8,10,12
5707,5,21,6,27
5707,7,30,6,27
5708,10,3,13,4
5708,7,6,18,16
5708,4,9,15,36
5708,14,33,15,36
5708,3,44,4,64
5708,5,76,4,64
5709,11,3,18,5
5709,21,16,26,20
5709,5,9,24,45
5709,13,24,24,45
5709,5,32,12,80
5709,11,72,12,80
5710,27,7,23,6
5710,3,2,34,24
5710,2,3,33,54
5710,13,21,33,54
5710,11,52,20,96
5710,21,100,20,96
6055,3,7,2,5
6060,2,7,1,4
6061,3,4,2,3
6062,2,3,1,2
6094,3,4,2,3
6096,5,4,6,5
6096,3,28,2,20
6097,2,11,1,6
6098,3,2,10,7
6098,7,32,6,28
6099,2,3,1,2
6100,2,3,1,2
6102,9,2,4,1
6102,7,4,6,4
6102,5,6,6,9
6102,7,9,6,9
6102,3,8,4,16
6102,5,16,4,16
6103,4,3,5,4
6103,3,22,2,16
6105,5,2,2,1
6105,3,4,2,4
6107,7,2,10,3
6107,5,4,14,12
6107,7,15,12,27
6107,11,24,12,27
6107,3,32,4,48
6107,5,56,4,48
6129,3,4,2,3
6131,5,4,6,5
6131,3,28,2,20
6132,2,11,1,6
6133,3,2,10,7
6133,7,32,6,28
6143,2,3,1,2
6144,2,3,1,2
6146,9,2,4,1
6146,7,4,6,4
6146,5,6,6,9
6146,7,9,6,9
6146,3,8,4,16
6146,5,16,4,16
6147,4,3,5,4
6147,3,22,2,16
6149,5,2,2,1
6149,3,4,2,4
6151,7,2,10,3
6151,5,4,14,12
6151,7,15,12,27
6151,11,24,12,27
6151,3,32,4,48
6151,5,56,4,48
6170,3,7,2,5
6188,2,7,1,4
6189,3,4,2,3
6190,2,3,1,2
6319,3,7,2,5
6344,3,4,2,3
6346,5,4,6,5
6346,3,28,2,20
6347,2,11,1,6
6348,3,2,10,7
6348,7,32,6,28
6415,3,7,2,5
6440,3,4,2,3
6442,5,4,6,5
6442,3,28,2,20
6443,2,11,1,6
6444,3,2,10,7
6444,7,32,6,28
6472,2,7,1,4
6473,3,4,2,3
6474,2,3,1,2
6488,2,3,1,2
6489,2,3,1,2
6491,9,2,4,1
6491,7,4,6,4
6491,5,6,6,9
6491,7,9,6,9
6491,3,8,4,16
6491,5,16,4,16
6492,4,3,5,4
6492,3,22,2,16
6494,5,2,2,1
6494,3,4,2,4
6496,7,2,10,3
6496,5,4,14,12
6496,7,15,12,27
6496,11,24,12,27
6496,3,32,4,48
6496,5,56,4,48
6500,5,2,2,1
6500,3,4,2,4
6501,9,2,4,1
6501,7,4,6,4
6501,5,6,6,9
6501,7,9,6,9
6501,3,8,4,16
6501,5,16,4,16
6502,13,2,6,1
6502,11,4,10,4
6502,5,3,12,9
6502,13,9,12,9
6502,7,8,12,16
6502,13,16,12,16
6502,3,5,10,25
6502,7,15,10,25
6502,9,20,10,25
6502,11,25,10,25
6502,5,24,6,36
6502,7,36,6,36
6524,3,4,2,3
6611,3,4,2,3
6632,3,4,2,3
6634,5,4,6,5
6634,3,28,2,20
6635,2,11,1,6
6636,3,2,10,7
6636,7,32,6,28
6646,2,3,1,2
6647,2,3,1,2
6649,9,2,4,1
6649,7,4,6,4
6649,5,6,6,9
6649,7,9,6,9
6649,3,8,4,16
6649,5,16,4,16
6650,4,3,5,4
6650,3,22,2,16
6652,5,2,2,1
6652,3,4,2,4
6654,7,2,10,3
6654,5,4,14,12
6654,7,15,12,27
6654,11,24,12,27
6654,3,32,4,48
6654,5,56,4,48
6673,3,7,2,5
6691,2,7,1,4
6692,3,4,2,3
6693,2,3,1,2
6832,3,7,2,5
6857,3,4,2,3
6859,5,4,6,5
6859,3,28,2,20
6860,2,11,1,6
6861,3,2,10,7
6861,7,32,6,28
6962,3,7,2,5
6987,3,4,2,3
6989,5,4,6,5
6989,3,28,2,20
6990,2,11,1,6
6991,3,2,10,7
6991,7,32,6,28
7045,2,7,1,4
7046,3,4,2,3
7047,2,3,1,2
7061,2,3,1,2
7062,2,3,1,2
7064,9,2,4,1
7064,7,4,6,4
7064,5,6,6,9
7064,7,9,6,9
7064,3,8,4,16
7064,5,16,4,16
7065,4,3,5,4
7065,3,22,2,16
7067,5,2,2,1
7067,3,4,2,4
7069,7,2,10,3
7069,5,4,14,12
7069,7,15,12,27
7069,11,24,12,27
7069,3,32,4,48
7069,5,56,4,48
7083,3,4,2,3
7101,2,3,1,2
7102,3,2,4,3
7102,3,16,2,12
7103,9,5,7,4
7103,7,18,6,16
7107,5,2,2,1
7107,3,4,2,4
7108,9,2,4,1
7108,7,4,6,4
7108,5,6,6,9
7108,7,9,6,9
7108,3,8,4,16
7108,5,16,4,16
7109,13,2,6,1
7109,11,4,10,4
7109,5,3,12,9
7109,13,9,12,9
7109,7,8,12,16
7109,13,16,12,16
7109,3,5,10,25
7109,7,15,10,25
7109,9,20,10,25
7109,11,25,10,25
7109,5,24,6,36
7109,7,36,6,36
7142,3,4,2,3
7245,2,13,1,7
7270,2,7,1,4
7271,3,7,2,5
7273,3,5,4,7
7274,2,3,5,8
